 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.754         0.755         0.756         0.000         0.001     0.3     8   1    coarse levels           
       1.572         1.578         1.587         0.005         0.003     0.7     1   6    refine                  
       3.384         3.385         3.386         0.000         0.000     1.5     6   1    load balance            
       0.973         1.081         1.197         0.080         0.074     0.5     5   6    particles               
       2.204         2.205         2.207         0.001         0.000     1.0     4   1    io                      
      64.375        64.421        64.474         0.030         0.000    29.2     6   5    poisson                 
       5.447         5.480         5.511         0.022         0.004     2.5     6   1    rho                     
       1.488         1.503         1.516         0.009         0.006     0.7     6   1    courant                 
       0.525         0.538         0.566         0.013         0.024     0.2     6   1    hydro - set unew        
     130.351       132.460       134.283         1.535         0.012    59.9     1   2    hydro - godunov         
       2.199         4.022         6.127         1.535         0.382     1.8     2   6    hydro - rev ghostzones  
       2.089         2.123         2.160         0.026         0.012     1.0     8   3    hydro - set uold        
       0.253         0.262         0.279         0.008         0.030     0.1     1   4    hydro upload fine       
       0.700         0.762         0.848         0.044         0.058     0.3     7   1    hydro - ghostzones      
       0.415         0.418         0.420         0.002         0.004     0.2     4   8    flag                    
     220.996     100.0    TOTAL
